"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","index"
0.25,0,0.75,0,-131.473893815533,-1460.34944649616,4685569.15863932,1248832000,3,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,32
0.5,0,0.5,0,56259.8567705055,182825.318740369,4642928.13366356,1249952000,3,0,47,785,0,0,0,0,0.0564903846153846,0.943509615384615,0,0,0,0,0.00721947722792555,0.992780522772074,0,0,0,0,9024000,1240928000,0,0,0,33
0.75,0,0.25,0,534138.017296816,1866134.13510348,3653737.55251223,1248544000,3,0,1110,655,0,0,0,0,0.628895184135977,0.371104815864023,0,0,0,0,0.170694825332547,0.829305174667453,0,0,0,0,213120000,1035424000,0,0,0,34
1,0,0,0,1711288.13266197,6368782.01211816,-4375440.8127137,1249952000,3,0,6469,0,0,5,0,0,0.999227679950571,0,0,0.000772320049428483,0,0,0.993676557179796,0,0,0.0063234428202043,0,0,1242048000,0,0,7904000,0,35
0,0.25,0.75,0,86451.8910398616,291472.869457971,4608454.00237468,1249772800,3,0,79,781,0,0,0,0,0.0918604651162791,0.908139534883721,0,0,0,0,0.0121366059494974,0.987863394050503,0,0,0,0,15168000,1234604800,0,0,0,36
0.25,0.25,0.5,0,336831.4188928,1171257.24833433,4172516.69645095,1249241600,3,0,562,722,0,0,0,0,0.437694704049844,0.562305295950156,0,0,0,0,0.0863756058075556,0.913624394192444,0,0,0,0,107904000,1141337600,0,0,0,37
0.5,0.25,0.25,0,1209761.35393723,4424240.74522853,732265.276851834,1248780800,3,0,4067,292,0,4,0,0,0.932156772862709,0.0669264267705707,0,0.000916800366720147,0,0,0.625301093674727,0.369635407591148,0,0.00506349873412532,0,0,780864000,461593600,0,6323200,0,38
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-4539910.92877181,1249907200,3,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,39
0,0.5,0.5,0,728077.738922602,2622358.92729617,2985317.14659866,1249344000,3,0,1814,569,0,1,0,0,0.760906040268456,0.238674496644295,0,0.000419463087248322,0,0,0.278776702013217,0.719957993955228,0,0.00126530403155576,0,0,348288000,899475200,0,1580800,0,40
0.25,0.5,0.25,0,1575084.13494041,5842327.1328059,-1866648.70273618,1249850608,3,0,6219,26,0,5,1,0,0.994880819068949,0.00415933450647896,0,0.000799872020476724,0.000159974404095345,0,0.955352577625821,0.0328845701533635,0,0.00632395579872375,0.00543889642209143,0,1194048000,41100800,0,7904000,6797808,41
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-4592236.85096463,1249907200,3,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,42
0,0.75,0.25,0,1640105.50243588,6113359.8212852,-2543033.56313381,1249837808,3,0,6433,0,0,5,1,0,0.999068178288554,0,0,0.000776518092871564,0.000155303618574313,0,0.988237027311947,0,0,0.00632402056443471,0.00543895212361827,0,1235136000,0,0,7904000,6797808,43
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-4629024.99868644,1249907200,3,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,44
0,1,0,0,1701285.91957491,6407083.00401355,-4643249.43878166,1249907200,3,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,45
0,0,1,0,21.8900336153735,591.121696729481,3365633.5625217,1248832000,4,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,46
0.25,0,0.75,0,21.8900336153735,591.121696729481,3365633.5625217,1248832000,4,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,47
0.5,0,0.5,0,2756.67065088227,15448.6145397533,3365201.13093936,1249600000,4,0,4,790,0,0,0,0,0.00503778337531486,0.994962216624685,0,0,0,0,0.000614596670934699,0.999385403329065,0,0,0,0,768000,1248832000,0,0,0,48
0.75,0,0.25,0,29454.6855959356,211589.68065428,3307317.40139226,1249344000,4,0,85,779,0,1,0,0,0.0982658959537572,0.900578034682081,0,0.00115606936416185,0,0,0.0130628553865068,0.985671840581937,0,0.00126530403155576,0,0,16320000,1231443200,0,1580800,0,49
1,0,0,0,343057.622821482,5788621.6556215,-4703391.4436684,1249849600,4,0,6452,0,0,7,0,0,0.998916240904165,0,0,0.00108375909583527,0,0,0.991146454741434,0,0,0.00885354525856551,0,0,1238784000,0,0,11065600,0,50
0,0.25,0.75,0,34657.7097281531,439017.825845752,3253916.73832571,1248761600,4,0,189,767,0,0,0,0,0.197698744769874,0.802301255230126,0,0,0,0,0.0290591895202415,0.970940810479759,0,0,0,0,36288000,1212473600,0,0,0,51
