index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,frontier_id,input_budget,input_2,input_1,input_spat,port_rast,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs,AWY_1_rast_abs,SDE_2_rast_abs,SDL_3_rast_abs,terracing_npix,grass_strips_npix,riparian_mgmt_npix,agroforestry_npix,reforestation_npix,road_mitigation_npix,terracing_frac_area,grass_strips_frac_area,riparian_mgmt_frac_area,agroforestry_frac_area,reforestation_frac_area,road_mitigation_frac_area,terracing_frac_alloc,grass_strips_frac_alloc,riparian_mgmt_frac_alloc,agroforestry_frac_alloc,reforestation_frac_alloc,road_mitigation_frac_alloc,terracing_budg,grass_strips_budg,riparian_mgmt_budg,agroforestry_budg,reforestation_budg,road_mitigation_budg
20,0.0,1.0,0.0,-4.452676,0.399398,7.151697,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_5_6_1_4_1.875e+09.tif,0,9675,0,0,11,0,0,0.998864340285,0.0,0,0.00113565971505,0.0,0,0.990725917936,0.0,0,0.00927408206385,0.0,0,1857600000,0,0,17388800,0
21,0.75,0.0,0.25,6.395626,0.04456,0.575029,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_6_6_1_4_1.875e+09.tif,0,218,1159,0,0,0,0,0.158315177923,0.841684822077,0,0.0,0.0,0,0.0223350739209,0.977664926079,0,0.0,0.0,0,41856000,1832147200,0,0,0
22,0.5,0.25,0.25,6.115701,0.088638,1.227927,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_7_6_1_4_1.875e+09.tif,0,657,1106,0,0,0,0,0.37266023823,0.62733976177,0,0.0,0.0,0,0.067294429346,0.932705570654,0,0.0,0.0,0,126144000,1748364800,0,0,0
23,0.25,0.5,0.25,4.601658,0.185359,3.0988,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_8_6_1_4_1.875e+09.tif,0,2381,894,0,2,0,0,0.726579188282,0.272810497406,0,0.000610314311871,0.0,0,0.24400325201,0.754309255249,0,0.00168749274105,0.0,0,457152000,1413235200,0,3161600,0
24,0.0,0.75,0.25,-5.559405,0.373948,7.80129,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_9_6_1_4_1.875e+09.tif,0,9672,0,0,7,1,0,0.999173553719,0.0,0,0.000723140495868,0.000103305785124,0,0.990472276936,0.0,0,0.00590200774339,0.00362571532082,0,1857024000,0,0,11065600,6797808
25,0.5,0.0,0.5,4.956949,0.163518,2.765255,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_10_6_1_4_1.875e+09.tif,0,1987,942,0,2,0,0,0.677925622654,0.321392016377,0,0.000682360968953,0.0,0,0.20360136349,0.794711351263,0,0.00168728524684,0.0,0,381504000,1489113600,0,3161600,0
26,0.25,0.25,0.5,-0.146302,0.316596,6.245941,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_11_6_1_4_1.875e+09.tif,0,7235,295,0,8,1,0,0.959676349648,0.0391298580714,0,0.00106114869346,0.000132643586683,0,0.740903432659,0.248725771116,0,0.00674510565738,0.00362569056795,0,1389120000,466336000,0,12646400,6797808
27,0.0,0.5,0.5,-5.639649,0.369395,7.810582,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_12_6_1_4_1.875e+09.tif,0,9689,0,0,5,1,0,0.999381124291,0.0,0,0.000515729757607,0.000103145951521,0,0.992158993112,0.0,0,0.00421548958094,0.00362551730735,0,1860288000,0,0,7904000,6797808
28,0.0,0.25,0.75,-4.633474,0.311985,6.406868,2,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_14_6_1_4_1.25e+09.tif,0,6477,0,0,4,0,0,0.999382811295,0.0,0,0.000617188705447,0.0,0,0.994941064425,0.0,0,0.00505893557538,0.0,0,1243584000,0,0,6323200,0
29,0.75,0.25,0.0,4.685569,3e-06,-0.00146,2,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_2_6_1_4_1.25e+09.tif,0,0,790,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,1248832000,0,0,0
