index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,esm_case,input_budget,input_2,input_1,input_spat,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
480,0.5,0.25,0.25,-0.845370390239,1.531895,8.13930064776,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_8_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_11_4_6.25e+08.tif
481,0.75,0.25,0.0,-2.07462211349,1.594562,8.51531104406,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_9_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_11_4_6.25e+08.tif
482,0.0,0.5,0.5,-0.712587660807,1.487273,8.04557753448,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_10_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_11_4_6.25e+08.tif
483,0.25,0.5,0.25,-1.17313474417,1.546981,8.35273357622,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_11_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_11_4_6.25e+08.tif
484,0.5,0.5,0.0,-2.1367414818,1.578441,8.5446996752,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_12_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_11_4_6.25e+08.tif
485,0.0,0.75,0.25,-1.37746081546,1.550202,8.43522149652,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_13_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_11_4_6.25e+08.tif
486,0.25,0.75,0.0,-2.15129621703,1.568491,8.55132634914,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_14_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_11_4_6.25e+08.tif
487,0.0,1.0,0.0,-2.16266316501,1.562678,8.55215393386,11,625000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_15_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_11_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_11_4_6.25e+08.tif
488,0.0,0.0,1.0,5.56874323748,2e-05,-0.000974428567209,11,1250000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_1_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_11_4_1.25e+09.tif
489,0.25,0.0,0.75,5.56840063339,0.009448,0.029235581264,11,1250000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_2_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_11_4_1.25e+09.tif
490,0.0,1.0,0.0,-3.25308833002,2.28292,12.9084605865,11,1250000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_15_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_11_4_1.25e+09.tif
491,0.5,0.5,0.0,-3.21389598505,2.302615,12.8993073802,11,1250000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_12_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_11_4_1.25e+09.tif
