livestock_score,sdr_score,swy_score
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3183868.27881,78445.5580443,-143.810806312
3182986.20898,77886.8019377,-117.910278355
2501348.52119,10961.2596587,-256.42520145
2477615.33602,10522.2542544,-200.782959016
2458832.82946,10408.8063639,-139.682418855
2479071.41216,11216.5448179,-121.880111727
2462559.54956,10942.840444,-107.780067477
2495813.6391,10654.7796204,-1011.25830084
2454756.9117,10840.9799661,-100.544822726
3182392.84237,77321.8088703,-117.715209996
3182380.41431,77316.8622551,-117.706726109
3180491.34969,76638.403561,-116.271148716
3180491.34969,76638.403561,-116.271148716
3180491.34969,76638.403561,-116.271148716
3182842.94922,77438.1305823,-127.344604528
3180491.34969,76638.403561,-116.271148716
3047080.4011,48523.6660721,-88.587348975
3035717.59593,47031.2131066,-83.764541664
3046158.98156,48670.9413347,-74.696029701
3044697.80488,48483.8301828,-74.318191566
3010321.71191,44286.5033299,-63.607200659
3048753.31114,48746.7790303,-140.331230204
3010296.8558,44284.2137542,-63.589012182
2876353.65289,29962.8675383,-145.620346108
2906105.72327,32564.2411723,-123.978164711
2911384.76332,33123.9173363,-114.666458167
2911764.2321,33179.3310601,-113.531021156
2947957.49156,37804.5563205,-60.204238925
2864162.09394,28768.0468162,-839.534088199
2951035.00019,38172.7706,-57.0122681
2746833.88191,20894.2556656,-223.296814002
2777381.46007,23016.6123087,-173.430114786
2776992.70537,23025.2510778,-170.425979653
2765864.37331,23559.2561328,-106.895477329
2758673.28122,23945.0985771,-69.728958164
2752214.68992,20976.8598831,-909.566436832
2756182.61133,23872.2922652,-66.864349399
2688383.48711,17940.7342898,-235.512931862
2683910.7669,17813.351636,-213.684181253
2680579.77131,17707.8126979,-207.425788919
2671429.92537,18687.450158,-100.880806005
2668521.97088,18885.7979429,-80.757667577
2690570.85921,17874.6663514,-934.782005376
2669426.71414,18932.4028227,-80.509742772
3183030.04428,77950.9060179,-118.372650181
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3183868.27881,78445.5580443,-143.810806312
3182986.20898,77886.8019377,-117.910278355
2635990.77061,15611.5965642,-260.693847691
2642388.60635,15995.5056031,-223.341232337
2669130.06438,17300.0312735,-199.528381388
2633140.72826,16788.215601,-113.543472328
2617364.57278,16418.5668863,-93.649810829
2641104.03132,15677.801364,-956.35209662
2618147.08285,16465.1373602,-92.904556312
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3182842.94922,77438.1305823,-127.344604528
3182380.41431,77316.8622551,-117.706726109
3098792.52332,56691.8364616,-92.429748572
3084406.83776,54218.9158421,-87.64373783
3082684.34969,53931.947393,-86.994461096
3080111.71214,53509.4256453,-86.224838294
3066815.27263,51517.585387,-79.76280979
3098792.52332,56691.8364616,-92.429748572
3066815.27263,51517.585387,-79.76280979
2942783.78314,35993.8127939,-121.112472574
2985860.57106,40934.8503954,-74.272811926
2985272.92028,40875.4614835,-74.105651891
2987580.81666,41147.2116414,-72.826446569
2983450.84288,40753.1077176,-71.377929722
2940893.44698,35743.909694,-231.148483324
2983120.22264,40736.0705269,-70.878295933
2847678.77907,27654.5668464,-174.076843299
2874046.05855,29771.9116407,-146.443237344
2892177.1746,31384.4906956,-128.786590615
2896509.33181,31878.8905307,-118.702728309
2896374.77215,31905.890857,-117.124893226
2837654.67363,26662.4762256,-865.988067692
2875625.6415,31561.1191856,-72.484405552
2746833.88191,20894.2556656,-223.296814002
2748159.14381,21068.9964056,-202.037811318
2776636.581,23000.7785871,-170.694763223
2777627.66909,23070.5407162,-169.877258339
2765864.37331,23559.2561328,-106.895477329
2752214.68992,20976.8598831,-909.566436832
2772285.70366,24296.7322941,-89.02096561
3183132.32665,78035.4021129,-121.12039188
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3183868.27881,78445.5580443,-143.810806312
3182986.20898,77886.8019377,-117.910278355
2742680.32892,20665.7091577,-224.05653385
2738627.66571,20545.4757261,-201.602142372
2738790.20784,20581.2134829,-198.435714759
2753615.49126,21739.0012704,-169.163719216
2718962.62264,21055.0119709,-97.842094456
2747598.11245,20723.22242,-911.020858829
2718687.95351,21048.1593111,-97.420005833
1838.82530942,0.023890687,0.017166067
1973.92534242,0.036402924,0.017623831
4794.06150142,0.038187426,0.017654349
4803.26336125,0.052601498,0.017776419
2874.88853025,0.052601498,0.017776419
0.0,0.0,0.0
2874.88853025,0.052601498,0.017776419
1805.7822673,0.016532434,0.016616751
1838.82530942,0.023890687,0.017166067
1973.92534242,0.036402924,0.017623831
1973.92534242,0.036402924,0.017623831
1973.92534242,0.036402924,0.017623831
0.0,0.0,0.0
2865.68667042,0.038187426,0.017654349
1805.7822673,0.016532434,0.016616751
1805.7822673,0.016532434,0.016616751
1838.82530942,0.023890687,0.017166067
1838.82530942,0.023890687,0.017166067
1973.92534242,0.036402924,0.017623831
0.0,0.0,0.0
1973.92534242,0.036402924,0.017623831
1805.7822673,0.016532434,0.016616751
1805.7822673,0.016532434,0.016616751
1838.82530942,0.023890687,0.017166067
1838.82530942,0.023890687,0.017166067
1838.82530942,0.023890687,0.017166067
0.0,0.0,0.0
1973.92534242,0.036402924,0.017623831
1805.7822673,0.016532434,0.016616751
1805.7822673,0.016532434,0.016616751
1805.7822673,0.016532434,0.016616751
1838.82530942,0.023890687,0.017166067
1838.82530942,0.023890687,0.017166067
0.0,0.0,0.0
1838.82530942,0.023890687,0.017166067
52583.5391273,0.076630019,0.017776419
52583.5391273,0.076630019,0.017776419
52583.5391273,0.076630019,0.017776419
52583.5391273,0.076630019,0.017776419
52583.5391273,0.076630019,0.017776419
52583.5391273,0.076630019,0.017776419
1805.7822673,0.016532434,0.016616751
1805.7822673,0.016532434,0.016616751
1805.7822673,0.016532434,0.016616751
1838.82530942,0.023890687,0.017166067
1838.82530942,0.023890687,0.017166067
0.0,0.0,0.0
1838.82530942,0.023890687,0.017166067
3182521.49035,77378.3268224,-117.794220006
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3182492.26682,77361.6843378,-117.783233678
3183076.73749,77574.9025502,-127.410614049
3182492.26682,77361.6843378,-117.783233678
3102220.18678,57319.4184861,-93.150604285
3102220.18678,57319.4184861,-93.150604285
3102046.19398,57286.0074763,-93.118972815
3104730.40035,57944.9709461,-89.93280033
3103573.56486,57743.9124294,-89.463882483
3102220.18678,57319.4184861,-93.150604285
3103233.80101,57683.8775363,-89.361755408
2995147.49835,41973.1959783,-75.141418493
2995303.15311,41991.7263301,-75.09634403
2992234.68208,41644.7461681,-74.171844518
2992568.09383,41703.3457912,-73.305847204
2990614.48449,41492.2079478,-72.683532751
2991871.14647,41553.8708366,-188.195144698
2991113.31983,41568.3293952,-72.194915807
2876353.65289,29962.8675383,-145.620346108
2906305.24638,32579.88147,-124.078994789
2912152.81959,33140.7869225,-117.460067787
2912181.32226,33199.2525996,-114.2172089
2911764.2321,33179.3310601,-113.531021156
2866270.16516,28943.3624161,-838.610366885
2911764.2321,33179.3310601,-113.531021156
2778426.66126,22827.8165883,-223.055313146
2804050.11853,24656.7767655,-176.828292886
2822063.66779,25900.3386569,-167.099411049
2828140.3858,26434.946186,-155.320327797
2821048.36924,26136.9386328,-146.098754921
2784899.46765,22981.2748494,-909.764602724
2819981.71026,26073.6695764,-145.787735024
3183483.00905,78111.8483574,-130.68176273
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3183868.27881,78445.5580443,-143.810806312
3182986.20898,77886.8019377,-117.910278355
2746833.88191,20894.2556656,-223.296814002
2748469.84523,21086.6491632,-202.140365639
2777369.03201,23015.9543047,-173.421844522
2776438.46827,22992.1470721,-170.46382145
2784207.94717,23614.2488981,-160.368560829
2752214.68992,20976.8598831,-909.566436832
2765864.37331,23559.2561328,-106.895477329
