livestock_score,sdr_score,swy_score
2200784.5215,4527.55527754,-130.402626069
2179035.68499,4381.84998512,-109.504814183
2189204.24365,4787.34670505,-95.508750951
2273628.83752,5394.91376963,-923.615867661
2187551.14241,4777.73154514,-94.40279392
3165756.09553,72079.9203904,-110.973541295
3166389.97421,72277.595157,-110.44815067
3152775.22613,68942.0207205,-102.770759617
3144560.28064,66808.8242093,-100.065116917
3140029.82744,65728.5957792,-98.584625279
3172929.78107,74090.4259608,-124.504692113
3137545.82708,65159.398613,-97.705246007
2934123.34956,35109.0903218,-122.688430825
2975936.10737,39979.9639456,-71.344589268
2971011.11692,39558.05349,-69.151809727
2959672.09774,38953.5428592,-56.817642245
2958560.35054,39031.0072486,-53.520446811
2932890.48587,34926.7391189,-237.72764592
2957219.45124,38953.0484477,-52.68553165
2747826.12427,20954.0101777,-222.848556555
2776621.32161,23000.0939043,-170.676361123
2765864.37331,23559.2561328,-106.895477329
2755958.85762,23856.8212252,-66.948150669
2761709.03672,24438.4077055,-59.156578098
2752214.68992,20976.8598831,-909.566436832
2761129.17966,24428.8600513,-58.503379856
2650301.2601,16267.4901928,-238.338272132
2678224.57572,17603.1132362,-207.62274174
2635037.35139,16871.6530309,-113.199340858
2619074.40699,16493.6643008,-93.412033119
2634528.904,17406.3271734,-80.543075598
2641242.59047,15683.5404539,-956.326202455
2630486.49343,17468.7221014,-71.904388464
2561700.68809,12841.9607756,-264.672119177
2561408.10542,12950.5004839,-232.99945072
2516731.13584,12298.1130642,-129.073455844
2521396.64254,12597.4327533,-117.828475986
2541128.03307,13516.4023328,-102.783401523
2565909.59208,12857.3072138,-985.554977473
2533006.03378,13408.3414446,-95.319274936
3183030.04428,77950.9060179,-118.372650181
