"esm_case","SDE_wt","SDL_wt","AWY_wt","cost_wt","SDE_2_agg_delta_abs","SDL_3_agg_delta_abs","AWY_1_agg_delta_abs","cost","budget","wt_case","awy_1","sdr_1","sdr_biophysical_table_path","awy_biophysical_table_uri","cat_scen","port_rast","AWY_1_rast_delta_abs","SDE_2_rast_delta_abs","SDL_3_rast_delta_abs","frontier_id"
1,0.5,0.25,0.25,0,185358.714724972,3098799.55334001,4601657.50757989,1873548800,1.875e+09,8,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_8_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_8_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_8_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_8_6_1_4_1.875e+09.tif",3
1,0.75,0.25,0,0,373947.626345804,7801289.58677024,-5559404.57627126,1874887408,1.875e+09,9,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_9_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_9_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_9_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_9_6_1_4_1.875e+09.tif",3
1,0,0.5,0.5,0,163518.460100964,2765254.5586931,4956949.12019182,1873779200,1.875e+09,10,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_10_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_10_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_10_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_10_6_1_4_1.875e+09.tif",3
1,0.25,0.5,0.25,0,316595.505013587,6245941.27418243,-146301.626147952,1874900208,1.875e+09,11,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_11_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_11_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_11_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_11_6_1_4_1.875e+09.tif",3
1,0.5,0.5,0,0,369395.230583256,7810581.90228652,-5639649.32858126,1874989808,1.875e+09,12,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_12_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_12_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_12_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_12_6_1_4_1.875e+09.tif",3
1,0.25,0.75,0,0,311984.981812264,6406868.02364803,-4633473.88311854,1249907200,1.25e+09,14,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_14_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_14_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_14_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_14_6_1_4_1.25e+09.tif",2
1,0.25,0,0.75,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1.25e+09,2,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_2_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_2_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_2_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_2_6_1_4_1.25e+09.tif",2
1,0.5,0,0.5,0,979.79878234315,2599.42143959347,4685416.01583542,1249024000,1.25e+09,3,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_3_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_3_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_3_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_3_6_1_4_1.25e+09.tif",2
1,0.75,0,0.25,0,21773.6890508687,148775.249264939,4644029.34283412,1249952000,1.25e+09,4,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_4_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_4_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_4_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_4_6_1_4_1.25e+09.tif",2
1,1,0,0,0,343057.622821482,5788621.6556215,-3483823.65670308,1249849600,1.25e+09,5,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_5_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_5_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_5_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_5_6_1_4_1.25e+09.tif",2
