"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","index"
0.25,0.5,0.25,0,938507.080185792,5695290.4491014,-1543388.95853918,1249997808,2,26
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-4577107.83760144,1249907200,2,27
0,0.75,0.25,0,992330.41967794,6113359.8212852,-2543033.56313381,1249837808,2,28
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-4621400.62434105,1249907200,2,29
0,1,0,0,1018326.72922606,6407083.00401355,-4643249.43878166,1249907200,2,30
0,0,1,0,-131.473893815533,-1460.34944649616,4685569.15863932,1248832000,3,31
0.25,0,0.75,0,-131.473893815533,-1460.34944649616,4685569.15863932,1248832000,3,32
0.5,0,0.5,0,56259.8567705055,182825.318740369,4642928.13366356,1249952000,3,33
0.75,0,0.25,0,534138.017296816,1866134.13510348,3653737.55251223,1248544000,3,34
1,0,0,0,1711288.13266197,6368782.01211816,-4375440.8127137,1249952000,3,35
0,0.25,0.75,0,86451.8910398616,291472.869457971,4608454.00237468,1249772800,3,36
0.25,0.25,0.5,0,336831.4188928,1171257.24833433,4172516.69645095,1249241600,3,37
0.5,0.25,0.25,0,1209761.35393723,4424240.74522853,732265.276851834,1248780800,3,38
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-4539910.92877181,1249907200,3,39
0,0.5,0.5,0,728077.738922602,2622358.92729617,2985317.14659866,1249344000,3,40
0.25,0.5,0.25,0,1575084.13494041,5842327.1328059,-1866648.70273618,1249850608,3,41
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-4592236.85096463,1249907200,3,42
0,0.75,0.25,0,1640105.50243588,6113359.8212852,-2543033.56313381,1249837808,3,43
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-4629024.99868644,1249907200,3,44
0,1,0,0,1701285.91957491,6407083.00401355,-4643249.43878166,1249907200,3,45
0,0,1,0,21.8900336153735,591.121696729481,3365633.5625217,1248832000,4,46
0.25,0,0.75,0,21.8900336153735,591.121696729481,3365633.5625217,1248832000,4,47
0.5,0,0.5,0,2756.67065088227,15448.6145397533,3365201.13093936,1249600000,4,48
0.75,0,0.25,0,29454.6855959356,211589.68065428,3307317.40139226,1249344000,4,49
1,0,0,0,343057.622821482,5788621.6556215,-4703391.4436684,1249849600,4,50
0,0.25,0.75,0,34657.7097281531,439017.825845752,3253916.73832571,1248761600,4,51
0.25,0.25,0.5,0,90802.1461497215,1257043.1303179,2899938.2792477,1248787200,4,52
0.5,0.25,0.25,0,208981.479772358,3595256.05545306,1018705.15965558,1249555200,4,53
0.75,0.25,0,0,318937.808165381,6395739.33255668,-6138673.87580007,1249907200,4,54
0,0.5,0.5,0,187767.697121434,3268298.70041232,1367121.18515892,1249568000,4,55
0.25,0.5,0.25,0,290739.931386714,5597490.65997846,-1951865.40399231,1249857008,4,56
0.5,0.5,0,0,313837.974314705,6405651.85328516,-6224903.60938854,1249907200,4,57
0,0.75,0.25,0,301273.069513744,5927185.80039637,-2758574.84030151,1249837808,4,58
0.25,0.75,0,0,311984.981812264,6406868.02364803,-6268168.26733346,1249907200,4,59
0,1,0,0,310569.019803984,6407083.00401355,-6281254.31333409,1249907200,4,60
0,0,1,0,122.757317313729,591.121696729481,3365633.5625217,1248832000,5,61
0.25,0,0.75,0,122.757317313729,591.121696729481,3365633.5625217,1248832000,5,62
0.5,0,0.5,0,28507.8821855738,118438.216210023,3343090.33448999,1248608000,5,63
0.75,0,0.25,0,249192.288278256,1214126.9541732,2894960.37505542,1248640000,5,64
1,0,0,0,1047387.51974783,6227644.21934819,-5469785.75214417,1249894400,5,65
0,0.25,0.75,0,87805.1243919184,439017.825845752,3253916.73832571,1248761600,5,66
0.25,0.25,0.5,0,278699.077925546,1484794.34803082,2772572.55887196,1248582400,5,67
0.5,0.25,0.25,0,721584.473132533,4196755.80906951,295182.021351059,1249018608,5,68
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-6049480.60127289,1249952000,5,69
0,0.5,0.5,0,564768.703353679,3268298.70041232,1367121.18515892,1249568000,5,70
